,Model,Accuracy_train,Accuracy_test,Precision_test,Recall_test,F1_test,k_th_fold
0,Logistic Regressor,0.872271624898949,0.8642241379310345,0.8564102564102564,0.8817317845828934,0.8688865764828304,1
1,Decision Tree Classifier,0.8530045809754783,0.834051724137931,0.8626560726447219,0.8025343189017952,0.8315098468271336,1
2,Gradient Boost Classifier,0.884263001886284,0.8723060344827587,0.8473581213307241,0.914466737064414,0.8796343321482987,1
3,XGBoost Classifier,0.908919428725411,0.8922413793103449,0.8679802955665025,0.9303062302006336,0.8980632008154944,1
4,Logistic Regressor,0.8715979520344921,0.8685344827586207,0.8533333333333334,0.8917470525187567,0.8721174004192873,2
5,Decision Tree Classifier,0.8519267043923471,0.8475215517241379,0.8309572301425662,0.8745980707395499,0.852219321148825,2
6,Gradient Boost Classifier,0.8868229587712207,0.8696120689655172,0.84106614017769,0.9131832797427653,0.8756423432682425,2
7,XGBoost Classifier,0.9121530584748047,0.8841594827586207,0.8533464566929134,0.9292604501607717,0.8896870189840945,2
8,Logistic Regressor,0.8690379951495554,0.8717672413793104,0.8646998982706002,0.8900523560209425,0.8771929824561403,3
9,Decision Tree Classifier,0.8539477229857181,0.849676724137931,0.8513513513513513,0.8575916230366493,0.8544600938967137,3
10,Gradient Boost Classifier,0.8806251684182161,0.8879310344827587,0.864390243902439,0.9277486910994764,0.8949494949494949,3
11,XGBoost Classifier,0.9113446510374562,0.8927801724137931,0.8698630136986302,0.930890052356021,0.8993424380374305,3
12,Logistic Regressor,0.8669001751313485,0.8867924528301887,0.867741935483871,0.9026845637583892,0.8848684210526315,4
13,Decision Tree Classifier,0.8581436077057794,0.8668463611859838,0.8352331606217617,0.901565995525727,0.8671328671328672,4
14,Gradient Boost Classifier,0.8805065337464637,0.8862533692722372,0.8502564102564103,0.9272930648769575,0.8871054039593366,4
15,XGBoost Classifier,0.9114913107907854,0.8959568733153639,0.8587512794268168,0.9384787472035794,0.8968466060929985,4
16,Logistic Regressor,0.8728276976963492,0.8609164420485175,0.8490364025695931,0.8714285714285714,0.8600867678958786,5
17,Decision Tree Classifier,0.8635322645830527,0.8539083557951482,0.8338557993730408,0.8769230769230769,0.8548473486877343,5
18,Gradient Boost Classifier,0.8829314293412367,0.8711590296495957,0.8358358358358359,0.9175824175824175,0.8748035620743845,5
19,XGBoost Classifier,0.913377340697831,0.8846361185983828,0.848,0.9318681318681319,0.887958115183246,5
